DOI,author,title,abstract,journal,year,affiliation
10.1080/10810730.2012.688248,"Selsky, Claire",Internet access and online cancer information seeking among latino immigrants from safety net clinics,"Internet use is widespread, but little is known about Internet use for cancer information among Latinos, especially those who rely on safety net clinics. The authors investigated access to and intended use of the Internet for cancer information among low income, immigrant Latinos predominately from Central and South America. A cross-sectional study of 1,273 Latinos 21 years and older attending safety net clinics or health fairs was conducted from June 2007 to November 2008. The authors used logistic regression models to evaluate associations of age, acculturation, psychosocial factors and other covariates with Internet access and intended use of the Internet for cancer information among those with access. Of the sample, 44% reported Internet access. Higher information self-efficacy and greater trust in the Internet were independently associated with Internet access (p =.05 and p <.001, respectively). Among those with access, 53.8% reported they intended to seek cancer help online if they needed information. Those with younger age and higher acculturation, education and self-efficacy had higher odds of intended Internet use for cancer information, considering covariates. In addition, those with high (vs. low) perceived risk of cancer (OR = 1.76; 95% CI [1.14, 2.73]; p =.01) and higher levels of trust in online health information (OR = 1.47 per one-point increase; 95% [CI 1.19, 1.82]; p =.0004) were more likely to intend to seek cancer information online. These findings that Internet access is fairly high in the immigrant Latino population and that the Internet is a trusted source of cancer information suggest that the Internet may be a channel for cancer control interventions.",Journal of Health Communication,2013,US
10.1080/10810730.2013.811325,"Ko, Linda K",Cultural and linguistic adaptation of a multimedia colorectal cancer screening decision aid for spanish-speaking latinos,"As the United States becomes more linguistically and culturally diverse, there is a need for effective health communication interventions that target diverse, vulnerable populations, including Latinos. To address such disparities, health communication interventionists often face the challenge to adapt existing interventions from English into Spanish in a way that retains essential elements of the original intervention while also addressing the linguistic needs and cultural perspectives of the target population. The authors describe the conceptual framework, context, rationale, methods, and findings of a formative research process used in creating a Spanish-language version of an evidence-based (English language) multimedia colorectal cancer screening decision aid. The multistep process included identification of essential elements of the existing intervention, literature review, assessment of the regional context and engagement of key stakeholders, and solicitation of direct input from target population. The authors integrated these findings in the creation of the new adapted intervention. They describe how they used this process to identify and integrate sociocultural themes such as personalism (personalismo), familism (familismo), fear (miedo), embarrassment (verguenza), power distance (respeto), machismo, and trust (confianza) into the Spanish-language decision aid.",Journal of Health Communication,2014,US
10.1080/10810730.2015.1018596,"Sly, Jamilia",Who's Missing? Predictors of Attrition Following Participation in Culturally Targeted Educational Breast and Cervical Cancer Outreach Programs for Latinas,"Rates of breast and cervical cancer screening among Latinas are suboptimal. The Esperanza y Vida program was developed to increase awareness of screening methods among Latinas. Lay health advisor cancer survivors are trained to deliver the program and use a narrative communication approach to promote breast and cervical cancer awareness and screening. This study aimed to identify characteristics of participants, within the larger study, who were lost, due to attrition, for follow-up assistance. Participants (N = 908) completed questionnaires that assessed knowledge, perceptions, and beliefs about breast and cervical cancer and were contacted after the program to assess screening and offer assistance in obtaining screening exams. Latinas who were younger than 40 years of age and who felt that the survivor's story would prompt them to make an appointment for screening were more likely to be lost to follow-up at 2 months. These findings have implications for future breast and cervical cancer outreach programs and interventions.",Journal of Health Communication,2015,US
10.1080/10810730.2016.1242670,"Hernandez, Maria Y",Using a Narrative Film to Increase Knowledge and Interpersonal Communication About Psychosis Among Latinos,"Narrative communication is effective in increasing public awareness while generating dialogue about varied health topics. The current study utilized narrative communication in the form of a 15-minute motivational film titled La CLAve to help Latinos recognize symptoms of psychosis and begin a discussion about serious mental illness. The study aimed to explore the participants’ response to the film and whether the film led to further dialogue about psychosis. Four focus groups were conducted with 40 Spanish-speaking participants, mostly foreign-born Latinas, with a mean age of 49 years. Results indicate that participants engaged with the film as reflected in their ability to recall the storyline in detail. Reports of psychosis knowledge gains included recognition of key symptoms, such as hallucinations and disorganized speech. Participants attributed symptoms of psychosis, observed in a film character, to social stressors and other previously constructed views of mental illness. Many participants discussed the content of the film within their immediate social networks. Other findings include discussions of key barriers and facilitators to seeking mental health treatment among Latino families, such as denial and family support. Results suggest that narrative films offer a promising strategy to stimulate dialogue about serious mental illness among Latinos.",Journal of Health Communication,2016,US
10.1080/10810730.2016.1240266,"Ashing, Kimlin Tam","HPV Vaccine–Related Knowledge, Beliefs, Acceptability, and Uptake Among Latinas Who Prefer English and Those Who Prefer Spanish","Latinas compose almost 10% of the U.S. population and suffer the highest incidence of and one of the highest mortality rates from cervical cancer. Human papillomavirus (HPV) vaccination can prevent most HPV infections that cause more than 90% of cervical cancer. Unfortunately, limited knowledge and low rates of HPV vaccination persist among Latinas. The current study compared awareness, knowledge, beliefs, acceptability, uptake, and 3-dose series completion of HPV vaccination between Latinas who prefer English (EPL) and those who prefer Spanish (SPL), ages 18–62, living in Southern California. (The 3-dose series completion was based on HPV vaccine completion guidelines at the time of the study. HPV vaccination guidelines do change over time to improve coverage.) More EPL (n = 57) than SPL (n = 150) reported significantly (a) more HPV vaccine awareness and more knowledge of where to access the vaccine and additional vaccine information and (b) greater endorsement of vaccine effectiveness and safety (p <.05). Regardless of language preference, Latinas reporting knowledge of where to access the vaccine and additional information endorsed greater acceptability of the vaccine and more favorable beliefs regarding vaccine safety and effectiveness (p <.05). In multivariate analyses, language and income predicted the outcomes of knowledge regarding accessing the vaccine and additional information. Only 15.6% of all eligible Latinas (n = 45) initiated the HPV vaccine, with 8.9% completion. Interventions seeking to improve HPV vaccination should address linguistic and socioecological differences within Latinas to enhance effectiveness. ",Journal of Health Communication,2016,US
10.1080/10810730.2015.1131777,"Echeverri, Margarita","Cancer health literacy test-30-Spanish (CHLT-30-DKspa), a New Spanish-language version of the Cancer Health Literacy Test (CHLT-30) for Spanish-speaking latinos","This article describes the adaptation and initial validation of the Cancer Health Literacy Test (CHLT) for Spanish speakers. A cross-sectional field test of the Spanish version of the CHLT (CHLT-30-DKspa) was conducted among healthy Latinos in Louisiana. Diagonally weighted least squares was used to confirm the factor structure. Item response analysis using 2-parameter logistic estimates was used to identify questions that may require modification to avoid bias. Cronbachs alpha coefficients estimated scale internal consistency reliability. Analysis of variance was used to test for significant differences in CHLT-30-DKspa scores by gender, origin, age and education. The mean CHLT-30-DKspa score (N = 400) was 17.13 (range = 0-30, SD = 6.65). Results confirmed a unidimensional structure, ?2(405) = 461.55, p =.027, comparative fit index =.993, Tucker-Lewis index =.992, root mean square error of approximation =.0180. Cronbachs alpha was.88. Items Q1-High Calorie and Q15-Tumor Spread had the lowest item-scale correlations (.148 and.288, respectively) and standardized factor loadings (.152 and.302, respectively). Items Q19-Smoking Risk, Q8-Palliative Care, and Q1-High Calorie had the highest item difficulty parameters (difficulty = 1.12, 1.21, and 2.40, respectively). Results generally support the applicability of the CHLT-30-DKspa for healthy Spanish-speaking populations, with the exception of 4 items that need to be deleted or revised and further studied: Q1, Q8, Q15, and Q19.",Journal of Health Communication,2016,US
10.1080/10810730.2016.1275890,"Maertens, Julie A.",Using Community Engagement to Develop a Web-Based Intervention for Latinos about the HPV Vaccine,"Human papillomavirus (HPV) infection is pervasive among sexually active women and men, and Hispanic women are at particularly high risk as they have higher rates of invasive cervical cancer compared to other racial or ethnic groups in the United States. There is a need for interventions to increase HPV vaccination among this high-risk population. This study investigated how to modify a previously developed web-based intervention that provided individually tailored information about HPV to improve its use among the Latino population. A community-oriented modification approach incorporated feedback from a community advisory committee, and focus groups among the Latino population, to modify the intervention. Several themes emerged including a need for basic information about HPV and HPV vaccination, changes to make the intervention appear less clinical, and incorporation of information addressing barriers specific to the Latino community. This work was done in preparation for a randomized trial to assess the impact of this modified intervention on HPV vaccination attitudes and uptake among Latino young adults and parents of adolescents. If effective, our intervention could be a resource for reducing HPV vaccination concerns, improving immunization rates, and educating Latinos about HPV and the HPV vaccine outside of the time boundaries of the traditional clinical encounter.",Journal of Health Communication,2017,US
10.1080/10810730.2018.1500661,"Chen, Nancy Nien-Tsu","Understanding Cervical Cancer Screening among Latinas through the Lens of Structure, Culture, Psychology and Communication","This study explored how structural and cultural forces work together with psychological and communication factors in influencing Pap test compliance among Latinas in Los Angeles County, a group who face health disparities related to cervical cancer screening, incidence and mortality. By adopting a multilevel approach to obtain a grounded understanding of this issue, this work revealed that structural barriers, fatalism, religious service attendance, perceived susceptibility, perceived costs, and cues to action from health care providers are all associated with Pap test compliance. Financial barriers also influence compliance, with underinsurance having a stronger negative impact compared to no insurance at all. These findings provide insights into how communication efforts can be strategically designed to address both individual- and system-level barriers to promote health-seeking behaviors among Latinas, and potentially among other population groups experiencing health disparities due to similar reasons.",Journal of Health Communication,2018,US
10.1080/10810730.2020.1833385,"Nouri, Sarah S.",Use and Usefulness of After-Visit Summaries by Language and Health Literacy among Latinx and Chinese Primary Care Patients,"The after-visit summary (AVS), a document generated from the electronic health record that summarizes patients’ encounters with the healthcare system, is a widely used communication tool. Its use by and usefulness for populations with limited English proficiency (LEP) and limited health literacy (LHL) is poorly understood. In this cross-sectional study, we assessed use and usefulness of the AVS among English-, Spanish-, Cantonese-, or Mandarin-speaking Latinx and Chinese primary-care patients. Outcome measures were self-reported AVS use (did not use/looked-at only/shared only/looked-at and shared) and usefulness (useful/not useful). Among 993 participants, 57% were ?65 years old, 61% had LEP, 21% had LHL, 30.2% were Latinx, 69.8% were Chinese. The majority used the AVS (86%) and found it useful (65%). In adjusted models, participants with LEP were more likely to “look at” (OR 1.68, 95% CI 1.07–2.62) and “look at and share” (OR 1.65, 1.02–2.66) the AVS, but less likely to find it useful (OR 0.68, 0.47–0.98) compared to English speakers. Those with LHL were less likely to “look at” (OR 0.60, 0.39–0.93) and less likely to find the AVS useful (OR 0.67, 0.46–0.99) compared to those with adequate health literacy. Our results emphasize the need for easy-to-understand and fully language-concordant AVS.",Journal of Health Communication,2020,US
10.1080/10810730.2021.1927258,"Sukumaran, Pramod",Using Tweetchats to Build Community Awareness and Advocacy around Alzheimer’s Disease for Latinos,"U.S. Latinos are 1.5 times more likely to develop Alzheimer’s disease (AD) than non-Latino Whites. To raise awareness of and action around this rising public health issue, Salud America!, a national Latino health advocacy network, organized three #SaludTues tweetchats on Twitter between 2018 and 2020. For the three Alzheimer’s tweetchats ?Aug. 14, 2018, June 6, 2019, and Oct. 6, 2020?Salud America! partnered with global groups that advocate for AD solutions in Latino and other communities. We analyzed the three tweetchats’ #Saludtues hashtag usage, participant demographics, and other metrics using Symplur analytics software. For the first tweetchat in 2018, there were 579 tweets with a total of 3.89 million impressions; the second tweetchat in 2019 had a bigger impact with 704 tweets with 5.72 million impressions; the third tweetchat had the biggest impact with 932 tweets and 6.62 million impressions. Most tweetchat participants were from states with large Latino populations, and most tweets indicated positive sentiment related to increasing awareness of solutions to AD issues among Latinos. The three Alzheimer’s-focused #SaludTues tweetchats particularly served as unique testing grounds for the fast dissemination and increasingly exposed many people to the issue of AD and the need to advocate for the Latino community.",Journal of Health Communication,2021,US
10.3163/1536-5050.96.2.101,"Peña-Purcell, Ninfa",Hispanics' use of Internet health information: An exploratory study,"Purpose: The research examined use of the Internet to seek health information among Hispanics in the United States. Methods: A secondary analysis used the Impact of the Internet and Advertising on Patients and Physicians, 2000-2001, survey data. Pearson's ?2 test, multivariate analysis of variance (MANOVA), analysis of variance (ANOVA), and independent samples t tests were conducted to test for relationships and differences between facets of Hispanic and non-Hispanic white online health information seeking. Results: Findings indicated lower Internet health information seeking among Hispanics (28.9%, n=72) than non-Hispanic whites (35.6%, n=883). On a scale of 1 (strongly agree) to 4 (strongly disagree), Hispanics were likely to agree that Internet health information improves understanding of medical conditions and treatments (M=1.65), gives patients confidence to talk to doctors about health concerns (M=1.67), and helps patients get treatment they would not otherwise receive (M=2.23). Hispanics viewed their skills in assessing Internet health information as good. Overall ratings were also positive for items related to sharing Internet health information with a doctor. Conflicting with these findings, Hispanics (M=3.33) and non-Hispanic whites (M=3.46) reported that physician-patient relationships worsened as a result of bringing online health information to a visit (scale 1=a lot better to 5=a lot worse). Conclusion: This study provides further evidence of differences in Internet health information seeking among Hispanics and non-Hispanic whites. Cultural discordance may be a possible explanation for Hispanics' view that the Internet negatively impacts physician-patient relationships. Strategies to increase Hispanics' access to Internet health information will likely help them become empowered and educated consumers, potentially having a favorable impact on health outcomes.",Journal of the Medical Library Association,2008,US
10.3163/1536-5050.97.2.008,"Moore, Mary",Web usability testing with a hispanic medically underserved population,"Objectives: Skilled website developers value usability testing to assure user needs are met. When the target audience differs substantially from the developers, it becomes essential to tailor both design and evaluation methods. In this study, researchers carried out a multifaceted usability evaluation of a website (Healthy Texas) designed for Hispanic audiences with lower computer literacy and lower health literacy. Methods: Methods included: (1) heuristic evaluation by a usability engineer, (2) remote end-user testing using WebEx software; and (3) face-to-face testing in a community center where use of the website was likely. Results: Researchers found standard usability testing methods needed to be modified to provide interpreters, increased flexibility for time on task, presence of a trusted intermediary such as a librarian, and accommodation for family members who accompanied participants. Participants offered recommendations for website redesign, including simplified language, engaging and relevant graphics, culturally relevant examples, and clear navigation. Conclusions: User-centered design is especially important when website developers are not representative of the target audience. Failure to conduct appropriate usability testing with a representative audience can substantially reduce use and value of the website. This thorough course of usability testing identified improvements that benefit all users but become crucial when trying to reach an underserved audience.",Journal of the Medical Library Association,2009,US
10.1177/0894439313497469,"Monforti, Jessica Lavariega",The Role of Digital Skills in the Formation of Generalized Trust Among Latinos and African Americans in the United States,"A number of scholars have noted a digital skill divide among racial and ethnic groups in the United States (e.g. Hargittai, 2002). The ability to leverage information communication technologies (ICTs) in productive ways has been linked to greater levels of prodemocratic attitudes and behaviors (Horrigan, Wellman, & Rainie, 2006; Valenzuela, Park, & Kee, 2009; Vitak et al., 2011). However, no work to date has explored how this relationship between digital skills and political behavior is mediated by racial and ethnic identity. Using an ordered logistic regression to analyze a 2010 PEW data set of social media use, we test the proposition that proficiency in digital skills enhances generalized trust among Latinos and African Americans. We find that the acquisition of digital skills is associated with generalized trust for African Americans but not for Latinos or Anglo-Americans. Our work suggests that ICTs in general and digital skills in particular might provide a distinct pathway to enhance generalized trust for African Americans, a key precondition for civic engagement for historically marginalized groups in the U.S. society. We discuss the implications of this research for enhancing generalized trust among historically marginalized groups in the United States.",Social Science Computer Review,2014,US
10.5195/biblios.2016.290,"Guzmán-Useche, Eliana",Sustentabilidad de las iniciativas latinoamericanas de publicación de revistas científicas en acceso abierto utilizando el estándar XML JATS: el caso de SciELO,"Objectives: It is performed a sustainability analysis of the Latin American initiative scielo.org based on two main aspects, the economic and the need for its existence. Method: To achieve that, the required man-hours to publish a scientific paper were measured, using its new publication methodology called XML SPS. 40 articles published in scientific journals of different areas of knowledge are processed; journals from Brazil, Chile, Colombia, Mexico and Venezuela, using that methodology. Results showed that the preparation of the document takes on average 35% of the total time (s = 9.72%), while the tagging process takes on average 50% of the time (s = 8.50%), finally the sections corresponding to references, acknowledgments and appendices (back) takes the majority of the time. Conclusions: This analysis indicates that the SciELO publishing model is sustainable from the point of view of the need for its existence, but in the economic terms seems not to be fully sustainable for all countries in the region, because it is a technically complex process that not all publishers are able to perform, making outsourcing of that procedure to be necessary, which requires a greater budget for the journal that can jeopardize the sustainability and the control of this publishing model.",Biblios,2016,Venezuela
10.1590/S1413-99362010000300008,"Barradas, Jaqueline Santos",Knowledge management trends in Brazil content analysis in the opinion of Brazilians' specialists[Levantamento de tendências em gestão do conhecimento no brasil: Análise de conteúdo da opinião de especialistas Brasileiros],,Perspectivas em Ciencia da Informacao,2010,Brazil
10.1590/1981-5344/3900,"Cunha Frota, Maria Guiomar da",Memória e produção social da informação em direitos humanos: Uma perspectiva latino-americana,"The article deals with the relations between memory and the social production of human rights information’s in the light of a Latin American theoretical perspective. On the theoretical level, it presents a Latin American perspective on the subject and considers that this perspective has as antecedent an extensive production of human rights information’s by nongovernmental organizations. At the empirical level evaluates the academic production in Information Science about documents and archives of human rights, repression and resistance.",Perspectivas em Ciencia da Informacao,2019,Brazil
10.1590/1981-5344/4343,"Dos Santos, Karlla Kamylla Passos",Underexplored territories: The study of visitor records in comment books of two Brazilians science museums[Territórios pouco explorados: O estudo dos registros de visitantes em livros de comentários de dois museus de ciências brasileiros],"In this qualitative and exploratory work, we studied the commentary books of two Brazilian museums and science centers– the Science House (Casa da Ciência) of the Federal University of Rio de Janeiro and the Science and Life Museum (Museu Ciencia e Vida) of the Center for Science and Higher Education at Distance Foundation of the State of Rio de Janeiro – in order to understand and explore its potential to collect data on publics opinions. We collected 1,724 comments from 10 books, from 2011 to 2018. For exploration and analysis, we adopted content analysis, as well as a protocol that divides comments into: pre-active, active and proactive. We were interested in analyzing the comments identified as active and proactive, totaling 1,512 records, organized into the following categories: accessibility; affectivity; science and learning; team; exhibition; infrastructure; role of museum spaces in society. The multiplicity of factors that could be listed when studying commentary books, allows us to affirm that they are a rich source of information about the audiences that go to museums and their demands. However, they are still underexplored territories, both in museums and in academic areas, and these records cannot be silenced and forgotten.",Perspectivas em Ciencia da Informacao,2021,Brazil
10.14195/2182-7974_34_1_3,"PINTO, ANTÓNIO GUIMARÃES",Jesuit Novilatine literature in XVIIth's century Coimbra connected with ecclesiastic events[Literatura Novilatina na Recepção ao Novo Bispo de Coimbra D. Afonso Furtado de Mendoça no Colégio dos Jesuítas],"This article provides the transcription and translation of Latin literary compositions, written by the professors of humanities courses of the Colégio dos Jesuítas de Coimbra, to honor the visit made by the newly installed Bishop of Coimbra, D. Afonso Furtado de Mendoça, in November 1616. In the introduction and notes, it sought to contextualize and value a sample of portuguese novilatine literature, among the many that remain to be explored and still persist handwritten in several and precious codices, such as the case of BGUC 994, from which the texts that are recovered were extracted.",Boletim do Arquivo da Universidade de Coimbra,2021,Brazil
10.15388/KNYGOTYRA.2021.77.88,"Kvizikevi?i?t?, Milda",The Book Cover as a Paratext: Biblia Germanicolatina in the Martynas Mažvydas National Library of Lithuania[VIRŠELIS KAIP PARATEKSTAS: MARTINO LUTHERIO BIBLIA GERMANICOLATINA LIETUVOS NACIONALIN?JE MARTYNO MAŽVYDO BIBLIOTEKOJE],"The book cover of Biblia Germanicolatina (1565), which is held at the Rare Books and Manuscrips Unit of the Martynas Mažvydas National Library of Lithuania, is analysed in this paper. This Bible was printed in a 20-volume collection in Wittenberg on request of August the Elect of Saxony (1526–1586). It was printed in the Latin and German languages. This Bible later became a part of various European libraries. Biblia Germanicolatina is analysed in the light of the paratext theory, which as a book history term is first used by French literary theorist Gerard Genette (1987). Genette used this term to describe objects and subjects surrounding the text: text spacing, lettering, book covers and even book advertisements. The analysis is performed using the provenance method, which leads to discovering the origins of the book’s binding and its primary sources. As of right now, five out of the 20 volumes from the collection are known to be held in Lithuanian memory institutions. As a result of this research, we were able to identify the bookbinder from Wittenberg who ordered the plate for tooling in 1564.",Knygotyra,2021,Lithuania
10.22381/KC6220189,"García, Marco A. Jiménez","Water, fire and the feminine in the pre-hispanic world: Creation and destruction of culture","The following text discusses the ideas of water, of fire and the feminine, essential elements in the pre-Hispanic world, as forces with the potential to create and destroy a culture. In The feminine in the pre-Hispanic World: Traces of eroticism and the radical other, we argue that the ""horror"" coming from the radical otherness within the erotic experience is the feminine. In American Atlantis: Mayan and Aztec catastrophes, we explain that myths reveal the creative work that is the basis of the cultural world. In Water and fire in the pre-Hispanic world, we declare that the acknowledgment of creation having its origin in water and fire is a foundational myth, universal to all societies.",Knowledge Cultures,2018,Mexico
