Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,,,,,,,,,
"Gamberini A.A., da Luz T.R.",57195319540;36655714000;,Librarian’s competence: Case study with professionals of the library network of Minas Gerais’ Federal Technology Education Center (Cefet - MG) [Competências de bibliotecários: Estudo de caso com profissionais da rede de bibliotecas do Centro Federal de Educação Tecnológica de Minas Gerais (Cefet - MG)] [Competencias de bibliotecarios: Estudio de caso con profesionales da la red de bibliotecas del Centro Federal de Educación Tecnológica de Minas Gerais (Cefet - MG)],2015,Ciencia da Informacao,44,3,,455,472,,,10.18225/ci.inf..v44i3.1896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027005508&doi=10.18225%2fci.inf..v44i3.1896&partnerID=40&md5=be34875b1f13e59c45061ebb6c3e7691,"Faculdade Novos Horizontes (FNH)MG, Brazil; Centro Federal de Educação Tecnológica de Minas Gerais, Timóteo, MG, Brazil; Universidade Federal de Minas Gerais (UFMG), Belo Horizonte, MG, Brazil; Faculdade Novos Horizontes (FNH), Belo Horizonte, MG, Brazil","Gamberini, A.A., Faculdade Novos Horizontes (FNH)MG, Brazil, Centro Federal de Educação Tecnológica de Minas Gerais, Timóteo, MG, Brazil; da Luz, T.R., Universidade Federal de Minas Gerais (UFMG), Belo Horizonte, MG, Brazil, Faculdade Novos Horizontes (FNH), Belo Horizonte, MG, Brazil","This research describes and analyzes how are configured the professional competencies of librarians at the libraries of Minas Gerais’ Federal Technology Education Centar (MG - CEFET). The theoretical framework addressed the concepts of competencies, professional competencies, according to Fleury and Fleury (2001, 2004), Dutra (2002), Streets (2001), Zarifian (2001), librarian and professional copmpetencies of librarians according to Valentin (2000), the National Curriculum Guidelines for Undergraduate Librarianship as well as the propposition of Ohira, Prado and Schmidt (2004). The methodology is of a descriptive case study with a qualitative approach. The units of analysis were the network of libraries of CEFET-MG and the subjects were 17 librarians who work in the various campuses of the institution. The data collection technique used was semistructured interviews and data analysis was performed through content analysis of primary data obtained from the interviews. The results showed that librarians’ professional competencies are formed by technical expertise integration to process, store and disseminate information in its different media, the technical processing of the items of the collection, which involves the activities of cataloging, classification and indexing, the ability to guide users in the use of information and the administrative management skills, attitudes that benefit the work environment, such as having flexibility, patience, communication skills. © 2015, Brazilian Institute for Information in Science and Technology. All rights reserved.",Competence; Librarians; Professional competence,,,,,,,,,,,,,,,Brazilian Institute for Information in Science and Technology,1001965,,,,Portuguese,Cienc. Inf.,Article,Final,,Scopus,2-s2.0-85027005508,,,,,,,,,
"González-Fernández-Villavicencio N., Domínguez-Aroca M.I., Calderón-Rehecho A., García-Hernández P.",36080560100;55377101700;55673522200;56912232700;,What role do librarians play in altmetrics? [¿Qué papel juegan los bibliotecarios en las altmetrics?],2015,Anales de Documentacion,18,2,,,,,8,10.6018/analesdoc.18.2.222641,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944707614&doi=10.6018%2fanalesdoc.18.2.222641&partnerID=40&md5=979279bf34735b9f70526f1b86caa712,"Biblioteca de la Universidad de Sevilla, Spain; Biblioteca de la Universidad de Alcalá, Madrid, Spain; Biblioteca de la Universidad Complutense de Madrid, Spain; Biblioteca de la Universidad de Salamanca, Spain","González-Fernández-Villavicencio, N., Biblioteca de la Universidad de Sevilla, Spain; Domínguez-Aroca, M.I., Biblioteca de la Universidad de Alcalá, Madrid, Spain; Calderón-Rehecho, A., Biblioteca de la Universidad Complutense de Madrid, Spain; García-Hernández, P., Biblioteca de la Universidad de Salamanca, Spain","Our aim is to identify the steps that librarians can take concerning altmetrics within the framework of the research support services. The current bibliography on altmetrics has been reviewed. A survey has also been carried out of librarians of Spanish universities to find out their degree of involvement in the matter and the setting up of relevant initiatives. Likewise, a thorough study which would enable librarians to find out about the use which their researchers make of social networks and the interest that they may have in altmetrics is needed. This research offers a user guide for librarians as an orientation in their activities and initiatives related to altmetrics, as well as a list of arguments which justify the reasons why librarians should undertake these initiatives. We contribute a view of altmetrics from the perspective of librarians as a strategic element of dissemination and training in altmetrics. © 2015 Anales de Documentación.",Academic library; Altmetrics; Librarians; Research evaluation; Researchers; Scientific production metrics,,,,,,,,,,,,,,,"Facultad de Comunicacion y Documentacion, Univ. de Murcia",15752437,,,,Spanish,An. Doc.,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84944707614,,,,,,,,,
"Currie M., Gibbs R.",56808883900;56808777100;,ISSN supporting Australian newspaper digitization [Apoio do ISSN à digitalização dos jornais Australianos] [Apoyo del ISSN a la digitalización de los periódicos Australianos],2015,Ciencia da Informacao,44,1,,65,84,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940394080&partnerID=40&md5=2037bc15d30f6e7a320835b27841dbab,"Australian ISSN Agency, Australia","Currie, M., Australian ISSN Agency, Australia; Gibbs, R., Australian ISSN Agency, Australia","In this paper, the authors describe the work being done by the Australian ISSN Agency to support the National Library of Australia’s newspaper digitisation program. The overall process, including the program’s workflows and systems is outlined, as well as the role of the ISSN within the program. Challenges faced by The Agency, particularly ISSN assignment, cataloguing and collaboration are discussed and illustrated with specific case studies. Reflecting on lessons learned provides a valuable mechanism for future directions and the sustainability of providing this service. © 2015, Brazilian Institute for Information in Science and Technology. All rights reserved.",Australian ISSN Agency; National library of Australia; Newspaper digitisation program,,,,,,,,,,,,,,,Brazilian Institute for Information in Science and Technology,1001965,,,,English,Cienc. Inf.,Article,Final,,Scopus,2-s2.0-84940394080,,,,,,,,,
"Maceviciute E., Borg M., Kuzminiene R., Konrad K.",6506419579;56205955800;56204825000;56206172400;,The acquisition of e-books in the libraries of the swedish higher education institutions [La adquisición de los libros electrónicos en las bibliotecas de los centros de enseñanza superior de Suecia],2015,Anales de Documentacion,18,1,,,,,1,10.6018/analesdoc.18.1.224341,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927555723&doi=10.6018%2fanalesdoc.18.1.224341&partnerID=40&md5=ffac7b3f0cdae37527124d6bfac39b96,"Universidad de Borås, Sweden","Maceviciute, E., Universidad de Borås, Sweden; Borg, M., Universidad de Borås, Sweden; Kuzminiene, R., Universidad de Borås, Sweden; Konrad, K., Universidad de Borås, Sweden","Our aim is to compare the advantages and problems of e-book acquisition identified in research literature to those experienced by two Swedish university libraries. A literature review was used to identify the main issues related to acquisition of e-books by academic libraries. The data for comparison were collected through case studies in two Swedish universities. Document analysis, interviews and personal experience were used for data collection. The main drivers of e-book acquisition by Swedish academic libraries are the perceived needs of the users. E-books are regarded as potentially useful for solving some of the problems of library service. A number of challenges and problems identified by the participants in the case studies coincide with those that were derived from the literature review. The problems of e-book acquisition in academic libraries seem to be common to the economically strong Western countries. University librarians see certain advantages of e-books for their users and libraries. Publishers and academic librarians expect that e-books would not lose the advantages that printed books offered to them. Hence, publishers restrict the usage of e-books to ensure revenues as if from selling individual copies. Librarians try to regain the same level of control over e-book collections as for printed materials.",Academic libraries; Digital information assets; E-books; Information market; Libraries collections development; Sweden,,,,,,,,,,,,,,,"Facultad de Comunicacion y Documentacion, Univ. de Murcia",15752437,,,,Spanish,An. Doc.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-84927555723,,,,,,,,,
"De Miranda E.A.C., Muñoz-Cañavate A.",56589760300;25823952800;,The websites and information services to citizens: A study of 308 municipalities in Portugal. [Los sitios web como servicios de información al ciudadano: Un estudio sobre los 308 ayuntamientos de Portugal],2015,Anales de Documentacion,18,1,,,,,10,10.6018/analesdoc.18.1.212681,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927555722&doi=10.6018%2fanalesdoc.18.1.212681&partnerID=40&md5=b38f4d46be447673897f65d0aa8e1cb8,"Universidade Lusófona de Humanidades e Tecnologias, Lisboa, Portugal; Facultad de Ciencias de la Documentación y la Comunicación, Universidad de Extremadura, Spain","De Miranda, E.A.C., Universidade Lusófona de Humanidades e Tecnologias, Lisboa, Portugal; Muñoz-Cañavate, A., Facultad de Ciencias de la Documentación y la Comunicación, Universidad de Extremadura, Spain","Since the advent of the internet, Public Administrations have set up new ways in which to manage their information through their Web portals. These portals are part of an information system in which information is made available both internally (back-office) and externally (front-office). They have also meant that a new field has opened up for information professionals to work in and for academics to study. The present communication is a synthesis of an extensive doctoral thesis presented in 2012 that analysed in detail the internet services of the Web portals of the councils of Portugal's 308 municipalities. In particular, these services were those of information, communication, and transactions applied to three areas: everyday life, distance administration, and political participation.",E-government; Information management; Internet; Local government; Municipal councils; Portugal,,,,,,,,,,,,,,,"Facultad de Comunicacion y Documentacion, Univ. de Murcia",15752437,,,,Spanish,An. Doc.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-84927555722,,,,,,,,,
"Salvador-Oliván J.A., Del Carmen Agustín-Lacruz M.",57194636476;54784308500;,Information reading and consumption habits among the undergraduate students in humanities faculty in saragossa university [Hábitos de lectura y consumo de información en estudiantes de la facultad de filosofía y letras de la universidad de zaragoza],2015,Anales de Documentacion,18,1,,,,,9,10.6018/analesdoc.18.1.201971,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927546679&doi=10.6018%2fanalesdoc.18.1.201971&partnerID=40&md5=155a278cf52e69327006bfb7e0bc6964,"Departamento de Ciencias de la Documentación e Historia de la Ciencia, Universidad de Zaragoza, Spain","Salvador-Oliván, J.A., Departamento de Ciencias de la Documentación e Historia de la Ciencia, Universidad de Zaragoza, Spain; Del Carmen Agustín-Lacruz, M., Departamento de Ciencias de la Documentación e Historia de la Ciencia, Universidad de Zaragoza, Spain","Objective: This study was carried out to assess information consumption and reading habits among undergraduate students from Humanitities Faculty at Saragossa University.Methods: A descriptive cross sectional approach was adopted. It involved 561 undergraduate students. A questionnaire for measuring reading habits was used for data collection. Frequency distribution percentage and cross tabulation with Chi square method were used in analyzing data.Results: The findings revealed that respondents read a wide range and types of information related with leisure, the process of teaching-learning or informative, being the most devices the computer and the smartphone. The most habitual places of reading are the domicile, the library and the public spaces. Some differences in reading preferences were observed between male and female students; men read more topics of policy, economics and sports while women read more topics related with health, fashion, society and horoscope.",Humanities Faculty; Information consumption; Lecture devices; Reading habits; Reading preferences; Spain; Undergraduate students,,,,,,,,,,,,,,,"Facultad de Comunicacion y Documentacion, Univ. de Murcia",15752437,,,,Spanish,An. Doc.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-84927546679,,,,,,,,,
"Vigil J.M.S., Zaldua M.O.",35367400600;35367387300;,"A documentary study of avante, the magazine of the sociedad general de fotógrafos de españa (1905-1906) [Análisis documental de avante, revista de la sociedad general de fotógrafos de españa (1905-1906)]",2015,Anales de Documentacion,18,1,,,,,1,10.6018/analesdoc.18.1.209681,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927546678&doi=10.6018%2fanalesdoc.18.1.209681&partnerID=40&md5=ea942bd2552ead0d809391ff979aae95,"Facultad de Ciencias de la Documentación, Universidad Complutense de Madrid, Spain","Vigil, J.M.S., Facultad de Ciencias de la Documentación, Universidad Complutense de Madrid, Spain; Zaldua, M.O., Facultad de Ciencias de la Documentación, Universidad Complutense de Madrid, Spain","The photography magazine Avante, of which there are no copies in the public documentation centers, with the exception of issue number 1 in the library of the Royal Palace, was the official publication of the Sociedad General de Fotógrafos of Spain, an institution which emerged from the first Professional Photographers Assembly held in Madrid in October of 1905. Created and directed by Manuel Compañy, one of the leading authors at the end of the 19th century and beginning of the 20th, only three issues were published, which have not been studied up until now. The object of this study has been to carry out a documentary analysis in order to furnish new data on the photography magazines in Spain and to obtain information to offer researchers on this subject. The results are of great interest in regard to the contents (texts, illustrations and advertising) and to the purpose of the magazine in relation with the afore-cited Sociedad General de Fotógrafos.",Avante; Manuel Compañy; Photographic documentation; Photography; Photography magazines; Sociedad General de Fotógrafos de España,,,,,,,,,,,,,,,"Facultad de Comunicacion y Documentacion, Univ. de Murcia",15752437,,,,Spanish,An. Doc.,Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84927546678,,,,,,,,,
"Arévalo J.A., García J.A.C.",23972277000;7406128369;,Challenges around digital book lending library. [Retos en torno al préstamo de libros digitales en bibliotecas],2015,Anales de Documentacion,18,1,,,,,4,10.6018/analesdoc.18.1.207171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927539205&doi=10.6018%2fanalesdoc.18.1.207171&partnerID=40&md5=3946ed10edc4263ac065da9a790ec2c4,"Universidad de Salamanca, Facultad de Traducción y Documentación, Spain","Arévalo, J.A., Universidad de Salamanca, Facultad de Traducción y Documentación, Spain; García, J.A.C., Universidad de Salamanca, Facultad de Traducción y Documentación, Spain","The development and expansion of the global market for electronic books and associated models to lending library are still in a developmental state and uncertainty. After a first stage in which major publishers refused to sell licenses loan at present publishers are putting more e-book titles available to libraries, although with some restrictions. The dominant trend is moving inexorably towards greater availability and access to digital titles to libraries. Once this stage about the limited availability of titles are pending other matters as the issue of licensing costs, with different rates offered to the public, which are increased in some cases up to three or more sometimes the retail price, which further complicates the procurement processes for libraries in a time when budgets are limited, hampering the ability of libraries to acquire adequate collection of digital products. Among other issues, technological and commercial that limit many uses they had libraries in the analog context, ownership and possession of the collection, the same stability, portability across platforms, and the difficulties associated with DRM systems digital rights management.",Business models; Digital loan; DRM; EBooks; Libraries; License; Pricing,,,,,,,,,,,,,,,"Facultad de Comunicacion y Documentacion, Univ. de Murcia",15752437,,,,Spanish,An. Doc.,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84927539205,,,,,,,,,
Botero M.L.,55631665800;,“Alegría de leer” (Joy of Reading): A student handbook with heritage status. Preservation and new circulation methods of a place of memory [La “Alegría de leer”: Cartilla escolar con estatus patrimonial. Conservación y nuevos modos de circulación de un lugar de memoria],2014,Revista Interamericana de Bibliotecologia,37,3,,251,262,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065326306&partnerID=40&md5=7a2af719768ee4a1ad5434240f0a847e,"Universidad París Sorbona, Facultad de Comunicaciones, Universidad de Antioquia, Medellín, Colombia","Botero, M.L., Universidad París Sorbona, Facultad de Comunicaciones, Universidad de Antioquia, Medellín, Colombia","This reflection paper emerged from a meeting and a suggestive image in which several topics that have motivated some of my studies and research topics condense. Memory, uses of the past, creative flow of cultural beings, processes of heritage construction from a communication perspective, all those topics are stated there, the glass case carefully displays a special book: the fourth book of Alegría de leer by Evangelista Quintana. Based on the theoretical assumptions of Yves Jeanneret and Jean Davallon regarding “patrimonialization”, the particular case of an object (this student handbook vested with resignifications revealing a missing past in the present) is illustrated. The sentimental value given by societies to certain objects promotes the generation of preservation strategies and stimulates new circulation means aiming at creating materialities able to support collective memories. © 2014 Escuela Interamericana de Bibliotecologia. All rights reserved.",Alegría de leer; Collective memory; Document preservation; Evangelista Quintana; Patrimonialization; Student handbook,,,,,,,,,,,,,"Botero, M.L.; Universidad París Sorbona, Colombia; email: botemar24@gmail.com",,Escuela Interamericana de Bibliotecologia,1200976,,,,Spanish,Rev. Interam. Bibl.,Article,Final,,Scopus,2-s2.0-85065326306,,,,,,,,,
"Ambriz G.S., Balbuena J.D.J.P., Troncoso L.L.P.",57208620951;57208627615;57208623080;,Knowledge networks based on knowledge management: Creation and organization for teaching and research at a university level [Redes de Conocimiento basadas en la gestión del conocimiento: Creación y organización para docencia e investigación universitaria],2014,Revista Interamericana de Bibliotecologia,37,3,,215,225,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042639843&partnerID=40&md5=ef9d53eb46f3e2b17fc7d9b6d7d52af7,"Universidad de Murcia, Spain; UVM Roma, UNAM, Mexico; UVM, Estudiante del Doctorado en Educación, Universidad de Cuautitlán Izcalli, Mexico","Ambriz, G.S., Universidad de Murcia, Spain; Balbuena, J.D.J.P., UVM Roma, UNAM, Mexico; Troncoso, L.L.P., UVM, Estudiante del Doctorado en Educación, Universidad de Cuautitlán Izcalli, Mexico","This paper aims to outline the theoretical principles for the creation, design and organization of Knowledge Networks based on the Knowledge Management (KM), case RITCS (Transdisciplinary Research Network on Social Sciences), through strategies that support the generation and adaptation of new models of frontier teaching and research in Higher Education Institutions (HEIs) that are immersed in scenarios of the third environment. © 2014 Escuela Interamericana de Bibliotecologia. All rights reserved.",Higher Education; Knowledge management; Knowledge Networks; Research; Teaching,,,,,,,,,,,,,,,Escuela Interamericana de Bibliotecologia,1200976,,,,Spanish,Rev. Interam. Bibl.,Article,Final,,Scopus,2-s2.0-85042639843,,,,,,,,,
Rodríguez-Yunta L.,16481744200;,Ciberinfraestructura para las humanidades digitales: una oportunidad de desarrollo tecnológico para la biblioteca académica,2014,Profesional de la Informacion,23,5,,453,462,,4,10.3145/epi.2014.sep.01,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907012956&doi=10.3145%2fepi.2014.sep.01&partnerID=40&md5=7dbed72969cc02c07b965755f1d18447,"CSIC, Centro de Ciencias Humanas y Sociales, Unidad de Bases de Datos ISOC, Albasanz, 26-28, Madrid, 28037, Spain","Rodríguez-Yunta, L., CSIC, Centro de Ciencias Humanas y Sociales, Unidad de Bases de Datos ISOC, Albasanz, 26-28, Madrid, 28037, Spain","The central role that technology centers play in strengthening the digital humanities (DH) is highlighted. For library and information sciences, and particularly for academic and research libraries, working with DH is a strategic opportunity to enhance their cyberinfrastructure. It is argued that the development of DH in Spain will require providing technology centers specific to the humanities and social sciences.",Academic libraries; Cyberinfrastructure; Development; DH; Digital humanities; Digital libraries; Evolution; Future; Library and information science; Opportunities; Technology; Trends; University libraries,,,,,,,,,,,,,"Rodríguez-Yunta, L.; CSIC, Albasanz, 26-28, Spain",,El Profesional de la Informacion,13866710,,,,French,Prof. Inf.,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-84907012956,,,,,,,,,
"Bornacelly J., Castro N.Q., Celis D.C., Restrepo M.C., Aristizábal D.G.",23033139900;57204845675;57208629282;57213515259;57208631455;,Public policy on public libraries at medellín: Toward the construction of evaluation guidelines [Política pública de biblioteca pública en Medellín: Hacia la construcción de una guía de evaluación],2014,Revista Interamericana de Bibliotecologia,37,2,,151,170,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057850967&partnerID=40&md5=614216d41fe701bcda24ea69a5c47a21,"Escuela Interamericana de Bibliotecología, Universidad de Antioquia, Colombia; Economista y filósofo. Magister, Ciencia Política, Doctorando Ciencias, Sociales FLACSO sede Ecuador, Colombia; Escuela Interamericana de Bibliotecología, Universidad de Antioquia, Colombia; Bibliotecólogo . Estudiante en formación, Escuela Interamericana de Bibliotecología, Universidad de Antioquia, Colombia","Bornacelly, J., Escuela Interamericana de Bibliotecología, Universidad de Antioquia, Colombia; Castro, N.Q., Escuela Interamericana de Bibliotecología, Universidad de Antioquia, Colombia; Celis, D.C., Economista y filósofo. Magister, Ciencia Política, Doctorando Ciencias, Sociales FLACSO sede Ecuador, Colombia; Restrepo, M.C., Escuela Interamericana de Bibliotecología, Universidad de Antioquia, Colombia; Aristizábal, D.G., Bibliotecólogo . Estudiante en formación, Escuela Interamericana de Bibliotecología, Universidad de Antioquia, Colombia","From a qualitative and interpretative perspective, an inquiry on the public policies about public libraries in Medellin and its evaluation was conducted; for so, an article-based research was carried out to know more about the definition and objectives of the public library within the current policies, the collaboration of the academic sector and what some representatives from the local library sector have said about them. The term public policy along with its components and steps and the analysis to set a proposal or theoretical references offering some useful elements to evaluate and follow the policy were identified. © 2014 Escuela Interamericana de Bibliotecologia. All rights reserved.",Evaluation; Medellín; Public library; Public policy,,,,,,,,,,,,,,,Escuela Interamericana de Bibliotecologia,1200976,,,,Spanish,Rev. Interam. Bibl.,Article,Final,,Scopus,2-s2.0-85057850967,,,,,,,,,
"Jaramillo O., Marín-Agudelo S.-A.",55764541600;56299423800;,Patrimonio bibliográfico en la biblioteca pública: memorias locales e identidades nacionales,2014,Profesional de la Informacion,23,4,,425,432,,4,10.3145/epi.2014.jul.11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905120387&doi=10.3145%2fepi.2014.jul.11&partnerID=40&md5=f4f2df1a85cd643288a92758870e76f8,"Escuela Interamericana de Bibliotecología, Universidad de Antioquia, Calle 67, n 53-108, 1226 Medellín, Colombia","Jaramillo, O., Escuela Interamericana de Bibliotecología, Universidad de Antioquia, Calle 67, n 53-108, 1226 Medellín, Colombia; Marín-Agudelo, S.-A., Escuela Interamericana de Bibliotecología, Universidad de Antioquia, Calle 67, n 53-108, 1226 Medellín, Colombia","Considering bibliographic heritage as indispensable for the knowledge of our culture and history, we show the results of the research project ""Situation of the heritage library collections of three public libraries of Antioquia, Colombia"". This research aimed to establish the role of public libraries in relation to local collections and bibliographic heritage. Aspects discussed include the design of criteria for the assessment and recovery of these collections and the suggestion of a diagnostic process to be followed. Our inventory produced two outcomes: 1) the creation of a digital reference repository that helps to systematize and disseminate the heritage collections existing in public libraries; and 2) evidence of how these collections lack needed policies for recovery, identification, processing, preservation and dissemination, which results in difficulties in terms of their valuation as heritage collections.",Bibliographic heritage; Collection management; Documentary heritage; Heritage; Policies; Public libraries,,,,,,,,,,,,,,,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-84905120387,,,,,,,,,
"Torres-Salinas D., Milanés-Guisado Y.",55665562600;26027144900;,Presencia en redes sociales y altmétricas de los principales autores de la revista El profesional de la información,2014,Profesional de la Informacion,23,4,,367,372,,11,10.3145/epi.2014.jul.04,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905119179&doi=10.3145%2fepi.2014.jul.04&partnerID=40&md5=4d337c738493e04dcd4458f8932a4a60,"Centro de Investigación Médica Aplicada, Universidad de Navarra, 31008 Pamplona, Spain; Escuela Internacional de Posgrado, Universidad de Granada, Paz, 10., E-18071-Granada, Spain","Torres-Salinas, D., Centro de Investigación Médica Aplicada, Universidad de Navarra, 31008 Pamplona, Spain; Milanés-Guisado, Y., Escuela Internacional de Posgrado, Universidad de Granada, Paz, 10., E-18071-Granada, Spain","We analyzed a discrete sample of the most frequent contributors to the journal El professional information (EPI) for the period 2009-2013. We studied the presence of these authors in social networks and the impact of their EPI publications indexed in Web of Science using different altmetrics. The results showed that 77% had a public profile on Google Scholar Profiles and 70% had an account on both LinkedIn and Mendeley. This platform has served as the tool with higher statistics and obtained the highest correlation with the number of citations in Web of Science (0.516). Other networks were Twitter (55%) and Slideshare (47%); despite its lower presence in the sample, Slideshare offers users higher visibility, receiving the highest number of user hits. We also present detailed altmetrics for 47 EPI authors, ending with a reflection on the difficulty of analysing altmetrics at author level.",Altmetrics; Author level metrics; CiteULike; Communication; El profesional de la información; EPI; Library and information science; Mendeley; Slideshare; Social networks; Social web; Twitter; Web of Science,,,,,,,,,,,,,,,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-84905119179,,,,,,,,,
"André C.-D.-S., Pinto A.-L., Matias M., Dutra M.-L., Gonzales-Aguilar A.",56299632300;36470775500;7003719093;24722767900;55123147000;,Análise bibliométrica do periódico Transinformação,2014,Profesional de la Informacion,23,4,,433,442,,10,10.3145/epi.2014.jul.12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905114360&doi=10.3145%2fepi.2014.jul.12&partnerID=40&md5=aa9be55463cd670a90170becc806b8a6,"Instituto Federal de Educação, Universidade Federal de Santa Catarina, Brazil; Departamento de Ciência da Informação, Universidade Federal de Santa Catarina, Brazil; Universidade de Montpellier, Universidade de Aix-Marseille, France","André, C.-D.-S., Instituto Federal de Educação, Universidade Federal de Santa Catarina, Brazil; Pinto, A.-L., Departamento de Ciência da Informação, Universidade Federal de Santa Catarina, Brazil; Matias, M., Departamento de Ciência da Informação, Universidade Federal de Santa Catarina, Brazil; Dutra, M.-L., Departamento de Ciência da Informação, Universidade Federal de Santa Catarina, Brazil; Gonzales-Aguilar, A., Universidade de Montpellier, Universidade de Aix-Marseille, France","This paper proposes the application of the three main Bibliometrics laws-Lotka, Zipf, and Bradford-to address the following questions: (i) How to be sure of the quality of publishers and contents in scholarly publishing, and (ii) How to determine content reliability. Our main goal is to evaluate the visibility of Transinformação, a Brazilian scholarly journal in the information science area, according to its productivity, citation counts, and performance indicators. This study focusses on the concepts of Bibliometrics and Scholarly Journals, presenting a brief history of scholarly publishing and its accessibility in Brazil, as well as the software tools used in this work. This is an exploratory documentary study, based on descriptive mixed methods (i.e., both qualitative and quantitative), that analyzes 24 years of Transinformação issues, from its first edition in 1989 to 2011. Descriptive statistics tables are used to show the results obtained from analyses carried out with Publish or perish, Microsoft Excel, and Web of science Citespace tools.",Bibliometrics; Bradford law; Lotka law; Transinformação; Zipf law. Price theory,,,,,,,,,,,,,,,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-84905114360,,,,,,,,,
Borrego A.,7005006155;,Altmétricas para la evaluación de la investigación y el análisis de necesidades de información,2014,Profesional de la Informacion,23,4,,352,358,,22,10.3145/epi.2014.jul.02,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905087243&doi=10.3145%2fepi.2014.jul.02&partnerID=40&md5=1bcebb163858fe743ace55b2cea980ee,"Facultat de Biblioteconomia i Documentació, Universitat de Barcelona, Melcior de Palau, 140, 08014 Barcelona, Spain","Borrego, A., Facultat de Biblioteconomia i Documentació, Universitat de Barcelona, Melcior de Palau, 140, 08014 Barcelona, Spain","Altmetrics measure the impact of research by quantifying its presence on the social web. The use of this tool in research evaluation can supplement citation analysis. However, altmetric data sources suffer from biases similar to those of citation databases. Although altmetrics offer article-level metrics, it is necessary to normalize data collection in order to guarantee the consistency of altmetric indicators and to build a conceptual framework to interpret them. Altmetrics can be a source of information on researchers' information behaviour and needs.",Altmetrics; Citation analysis; Information behaviour; Information needs; Research evaluation,,,,,,,,,,,,,"Borrego, A.; Facultat de Biblioteconomia i Documentació, Melcior de Palau, 140, 08014 Barcelona, Spain",,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-84905087243,,,,,,,,,
