Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Marimon M., Bel N.",55358375100;55369471300;,Dependency structure annotation in the IULA Spanish LSP Treebank,2015,Language Resources and Evaluation,49,2,,433,454,,1,10.1007/s10579-014-9280-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027936637&doi=10.1007%2fs10579-014-9280-5&partnerID=40&md5=d4351326454a9df3591b0a4db0febd20,"Universitat de Barcelona, Gran Via de les Corts Catalanes 585, Barcelona, 08007, Spain; Universitat Pompeu Fabra, Roc Boronat 138, Barcelona, 08018, Spain","Marimon, M., Universitat de Barcelona, Gran Via de les Corts Catalanes 585, Barcelona, 08007, Spain; Bel, N., Universitat Pompeu Fabra, Roc Boronat 138, Barcelona, 08018, Spain","This paper presents the IULA Spanish LSP Treebank, an open-source treebank of over 40,000 sentences, developed in the framework of the European project METANET4U. The IULA Spanish LSP Treebank is the first technical corpus of Spanish annotated at surface syntactic level, following the dependency grammar theory. We present the method we used to create the resource and the linguistic annotations that the treebank provides, using examples and comparing with similar resources. We also provide the statistics of the treebank and the evaluation results. © 2014, Springer Science+Business Media Dordrecht.",Dependency annotation; Spanish; Technical corpus; Treebank,,,"This work was funded by Spanish Ministerio de Ciencia e Innovación under the programe Ramón y Cajal and the European project METANET4U. We would like to thank Blanca Arias, Beatriz Fisas, Mercé Lorente, Carlos Morell, Silvia Vázquez and Jorge Vivaldi for their participation in the METANET4U project, and three anonymous reviewers for their suggestions and comments.",,,,,,,,,,"Marimon, M.; Universitat de Barcelona, Gran Via de les Corts Catalanes 585, Spain; email: montserrat.marimon@gmail.com",,Kluwer Academic Publishers,1574020X,,,,English,Lang. Resour. Eval.,Article,Final,,Scopus,2-s2.0-85027936637
"López-Navarro I., Moreno A.I., Quintanilla M.Á., Rey-Rocha J.",55414286600;7402632228;35211191600;56038456700;,Why do i publish research articles in english instead of my own language? Differences in spanish researchers’ motivations across scientific domains,2015,Scientometrics,103,3,A009,939,976,,48,10.1007/s11192-015-1570-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027929118&doi=10.1007%2fs11192-015-1570-1&partnerID=40&md5=09e1dd1b86ff9e5cc31bef2f444a92a4,"Research Group on Scientific Evaluation and Transfer, Department of Science, Technology and Society, Spanish Council for Scientific Research (CSIC), C/Albasanz, 26-28, Madrid, 28037, Spain; Department of Modern Philology, Universidad de León, Campus de Vegazana, s/n, León, 24071, Spain; Science and Technology Studies Institute, Universidad de Salamanca, C/Espejo, 2, Salamanca, 37007, Spain","López-Navarro, I., Research Group on Scientific Evaluation and Transfer, Department of Science, Technology and Society, Spanish Council for Scientific Research (CSIC), C/Albasanz, 26-28, Madrid, 28037, Spain; Moreno, A.I., Department of Modern Philology, Universidad de León, Campus de Vegazana, s/n, León, 24071, Spain; Quintanilla, M.Á., Science and Technology Studies Institute, Universidad de Salamanca, C/Espejo, 2, Salamanca, 37007, Spain; Rey-Rocha, J., Research Group on Scientific Evaluation and Transfer, Department of Science, Technology and Society, Spanish Council for Scientific Research (CSIC), C/Albasanz, 26-28, Madrid, 28037, Spain","Previous studies have reported the increased use of English as the ‘‘lingua franca’’ for academic purposes among non-Anglophone researchers. But despite data that confirm this trend, little is known about the reasons why researchers decide to publish their results in English rather than in their first language. The aim of this study is to determine the influence of researchers’ scientific domain on their motivation to publish in English. The results are based on a large-scale survey of Spanish postdoctoral researchers at four different universities and one research centre, and reflect responses from 1717 researchers about their difficulties, motivations, attitudes and publication strategies. Researchers’ publication experiences as corresponding authors of articles in English and in their first language are strongly related to their scientific domain. But surprisingly, Spanish researchers across all domains expressed a similar degree of motivation when they write research articles in English. They perceive a strong association between this language and the desire for their research to be recognized and rewarded. Our study also shows that the target scientific audience is a key factor in understanding the choice of publication language. The implications of our findings go beyond the field of linguistics and are relevant © 2015, Kluwer Academic Publishers.",,,,,,,,,,,,,,"López-Navarro, I.; Research Group on Scientific Evaluation and Transfer, C/Albasanz, 26-28, Spain; email: irene.lopez@cchs.csic.es",,Kluwer Academic Publishers,1389130,,,,English,Scientometrics,Article,Final,,Scopus,2-s2.0-85027929118
Riviera E.,55694588600;,Testing the strength of the normative approach in citation theory through relational bibliometrics: The case of Italian sociology,2015,Journal of the Association for Information Science and Technology,66,6,,1178,1188,,6,10.1002/asi.23248,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947057218&doi=10.1002%2fasi.23248&partnerID=40&md5=8ea01d28205281c472cac5f76a9ae347,"Department of Sociology, Inforsk, Umeå University, Umeå, SE-901 87, Sweden","Riviera, E., Department of Sociology, Inforsk, Umeå University, Umeå, SE-901 87, Sweden","In scientometrics, citer behavior is traditionally investigated using one of two main approaches. According to the normative point of view, the behavior of scientists is regulated by norms that make the detection of citation patterns useful for the interpretation of bibliometric measures. According to the constructivist perspective, citer behavior is influenced by other factors linked to the social and/or psychological sphere that do not allow any statistical inferences that are useful for the purposes of interpretation. An intermediate position supports normative theories in describing citer behavior with respect to high citation frequencies and constructivist theories with respect to low citation counts. In this paper, this idea was tested in a case study of the Italian sociology community. Italian sociology is characterized by an unusual organization into three ""political"" or ""ideological"" camps, and belonging to one camp can be considered a potentially strong constructivist reason to cite. An all-author co-citation analysis was performed to map the structure of the Italian sociology community and look for evidence of three camps. We did not expect to find evidence of this configuration in the co-citation map. The map, in fact, included authors who obtained high citation counts that are supposedly produced by a normative-oriented behavior. The results confirmed this hypothesis and showed that the clusters seemed to be divided according to topic and not by camp. Relevant scientific works were cited by the members of the entire community regardless of their membership in any particular camp. © 2014 ASIS&T.",citation analysis,Information analysis; Pattern recognition; Social sciences; Bibliometric; Bibliometrics; Citation analysis; Co-Citation Analysis; Cocitation; Normative theory; Scientometrics; Statistical inference; Behavioral research,,,,,,,,,,,,"Riviera, E.; Department of Sociology, Sweden; email: e.riviera@campus.unimib.it",,John Wiley and Sons Inc.,23301635,,,,English,J. Assoc. Soc. Inf. Sci. Technol.,Article,Final,,Scopus,2-s2.0-84947057218
"DiMaggio K., Antonucci C.",35769096300;56166414600;,"Son of Italy, step-son of Sisyphus: Reappraising the immigrant experience as an existential dilemma",2015,International Journal of the Book,13,2,,9,20,,,10.18848/1447-9516/CGP/v13i02/37041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940024249&doi=10.18848%2f1447-9516%2fCGP%2fv13i02%2f37041&partnerID=40&md5=5a08319bb7ebd1dc32099ef73efeea92,"Capital Community College, Hartford, CT, United States; Central Connecticut State University, New Britain, CT, United States","DiMaggio, K., Capital Community College, Hartford, CT, United States; Antonucci, C., Central Connecticut State University, New Britain, CT, United States","Nearly forgotten, Pascal D'Angelo's early 20th century autobiography ""Son of Italy"" lies in the tradition of other texts detailing immigrant experiences to the United States. Where D'Angelo's text differs is in how his memoir details an existential dilemma shaped by fruitless labor. Like the ancient Greek myth of Sisyphus, who is condemned to roll a rock on top of a mountain only to see such object roll back down, D'Angelo's struggle as a laborer in his new land becomes a similar absurd quest. This absurd struggle, however, also adds a rich layer to D'Angelo's narrative. Similar to the way French author Albert Camus writes about Sisyphus in ""The Myth of Sisyphus and Other Essays,"" D'Angelo's immigrant experience makes him an early ""Spokesman for the Absurd."" Yet as many struggle to find gainful, sustaining employment today, can an early 20th century narrative about one Italian's journey to America and his often fruitless efforts to sustain himself as a ""pick-and-shovel man,"" also address the dilemma for labor in the early 21st century? Despite D'Angelo's ""Sisyphean"" attempt at finding meaningful employment, this immigrant who broke American soil with his pick and shovel for less than sustaining wages, still managed to pen a rich and dynamic memoir that deserves a much wider audience. © Common Ground, Kenneth DiMaggio, Carl Antonucci, All Rights Reserved.",Existentialism; Italian-American; Myth of Sisyphus; Pascal D'Angelo; Son of Italy,,,,,,,,,,,,,,,Common Ground Research Networks,14479516,,,,English,Int. J. Book,Article,Final,,Scopus,2-s2.0-84940024249
"Orozco-Toro J.A., Ferré-Pavia C.",56734553600;55786562500;,The awareness of social causes and its impact on the perception of brand image. The Spanish case of Televisió de Catalunya [La difusión de las causas sociales y su impacto en la percepción de la imagen de marca. El caso español de Televisió de Catalunya],2015,Cuadernos.info,,36,,125,138,,3,10.7764/cdi.36.551,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937785453&doi=10.7764%2fcdi.36.551&partnerID=40&md5=1121a0d63f6b4a10b2c92e4e89d26683,"Universidad Pontificia Bolivariana, Medellín, Colombia; Universidad Autónoma de Barcelona, Barcelona, Spain","Orozco-Toro, J.A., Universidad Pontificia Bolivariana, Medellín, Colombia; Ferré-Pavia, C., Universidad Autónoma de Barcelona, Barcelona, Spain","This research aims to determine if the broadcasting of social causes impacts the perception of a mediacompany brand image. The theoretical framework is based on concepts such as social advertising, brand image, corporate identity and reputation as a starting point to understand how solidarity initiatives affect the brand image. The empirical work consisted on the application of a qualitative open question survey to 266 citizens of the autonomous community of Catalonia (Spain). The main results determine that the broadcasting of social causes has a positive impact on brand image, according to the perception of citizens. In addition, they perceive the efforts being made in such initiatives as positive. Thus, the linking with stakeholders becomes stronger thanks to these campaigns.",Brand image; Identity; Media companies; Social advertising; Social causes; Stakeholders,,,,,,,,,,,,,,,Pontificia Universidad Catolica de Chile 1,7193661,,,,Spanish,Cuadernos.info,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84937785453
"Sánchez Gonzales H.M., Muros S.M.",55772459800;51663821900;,"Social media in Spanish journalism: Demand, expectations and university offer [Medios sociales en el periodismo español: Demanda, expectativas y oferta universitaria]",2015,Cuadernos.info,,36,,155,171,,3,10.7764/cdi.36.636,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937778677&doi=10.7764%2fcdi.36.636&partnerID=40&md5=f322115615756a4f86867e6f08a6aa49,"Universidad de Sevilla, Sevilla, Spain","Sánchez Gonzales, H.M., Universidad de Sevilla, Sevilla, Spain; Muros, S.M., Universidad de Sevilla, Sevilla, Spain","This paper seeks to reveal whether there is a proportional relationship between the labour market demands, the expectations of professionals and the Spanish university offer in relation to the new professional figures that have developed on Internet. We have employed the methodological triangulation by theoretically reviewing the literature on the subject, trough a survey to local media journalists about expectations and uses of social media and a national-scale analysis of the Spanish universities offer in degrees and masters in Journalism. The results show that two-thirds of surveyed people are satisfied with the new professional profiles and moving to social media as work tools. However, university curricula are not conclusively betting for contents directed to the new demands of journalistic businesses; thus, there is no direct connection between the labour market and university offer.",Labour market; Professional expectations; Social media; Spanish journalism; University offer,,,,,,,,,,,,,,,Pontificia Universidad Catolica de Chile 1,7193661,,,,Spanish,Cuadernos.info,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84937778677
"Chias P., Abad T.",24802161800;24802117600;,Spatial Data Infrastructures and Spanish Cultural Heritage: The INSPIRE Framework Applied to the Monastery of El Escorial,2015,Journal of Map and Geography Libraries,11,2,,245,265,,7,10.1080/15420353.2015.1036957,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940923852&doi=10.1080%2f15420353.2015.1036957&partnerID=40&md5=6f48017735164e0ba9ca7c94a6a57e2c,"Universidad de Alcala, Santa Ursula 8, Alcala de Henares, 28801, Spain","Chias, P., Universidad de Alcala, Santa Ursula 8, Alcala de Henares, 28801, Spain; Abad, T., Universidad de Alcala, Santa Ursula 8, Alcala de Henares, 28801, Spain","The INSPIRE Directive established an Infrastructure for Spatial Information in Europe (INSPIRE), aiming to enable the interoperability and harmonization of spatial data sets and services across Europe. There are two main data specifications inside INSPIRE that might concern cultural heritage data: the Data Specification on Protected Sites, and the Data Specification on Area Management/Restriction/Regulation Zones and Reporting Units. These data specifications include the technical documentation of the application schema that defines the content and structure of the data required by one or more applications. Cultural heritage also overlaps the Data Specification on Buildings, for architectural heritage is to be taken as constructed buildings under that data specification. Nonetheless, manyheritage features do not fit within the definition of a building. The Cultural Heritage Application Schema developed by IDEE (Infraestructuras de Datos Espaciales) [Spatial Data Infrastructures] Working Group suggests the inclusion of cultural heritage protected areas as a special kind of protected site, and develops a minimal schema to include information about the real world protected entity. This approach involves some difficulties. As a case study we propose the Monastery of San Lorenzo de El Escorial and the surrounding Royal Estates. © 2015 Published with license by Taylor and Francis.",application schema; conceptual data model; cultural heritage; INSPIRE; interoperability; Monastery of El Escorial; spatial data infrastructures,conceptual framework; cultural heritage; data management; data set; modeling; spatial data; Spain,,,,,,,,,,,,"Chias, P.; Universidad de Alcala, Santa Ursula 8, Spain; email: pilar.chias@uah.es",,Routledge,15420353,,,,English,J. Map Geogr. Libr.,Article,Final,,Scopus,2-s2.0-84940923852
Di Parise S.,56455165600;,Notes for an agenda of Italian libraries [Appunti per un'agenda delle biblioteche italiane],2015,AIB Studi,55,2,,227,234,,1,10.2426/aibstudi-11171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933529836&doi=10.2426%2faibstudi-11171&partnerID=40&md5=926f97fde41245d00c77e10ec98cc298,"Comune di Milano, Settore Biblioteche, Corso di Porta Vittoria 6, Milano, 20122, Italy","Di Parise, S., Comune di Milano, Settore Biblioteche, Corso di Porta Vittoria 6, Milano, 20122, Italy","The article outlines the framework for a national policy of Italian libraries. The value that the community places on libraries is connected with their reputation among the community itself, and this reputation is closely related to the debate about the future of public library. The author identifies this future in the library identity as a learning environment: a space that will face substantial changes in the immediate future, but will continue to be the training ground for the empowerment of its community. Still, no change will be possible until a new generation of professionals is allowed to enter the profession, injecting new energies, skills and aptitudes in Italian libraries.",,,,,,,,,,,,,,"Di Parise, S.; Comune di Milano, Corso di Porta Vittoria 6, Italy; email: stefano.parise@comune.milano.it",,Associazione Italiana Biblioteche,22809112,,,,Italian,AIB Studi,Conference Paper,Final,,Scopus,2-s2.0-84933529836
"Vilares D., Alonso M.A., Gómez-Rodríguez C.",55681246300;56532171600;23389267800;,A linguistic approach for determining the topics of Spanish Twitter messages,2015,Journal of Information Science,41,2,,127,145,,12,10.1177/0165551514561652,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924802022&doi=10.1177%2f0165551514561652&partnerID=40&md5=3b9624a7d066f023dbe174ce030bec44,"Universidade da Coruña, Facultade de Informática, Campus de Elviña, A Coruña, 15071, Spain","Vilares, D., Universidade da Coruña, Facultade de Informática, Campus de Elviña, A Coruña, 15071, Spain; Alonso, M.A., Universidade da Coruña, Facultade de Informática, Campus de Elviña, A Coruña, 15071, Spain; Gómez-Rodríguez, C., Universidade da Coruña, Facultade de Informática, Campus de Elviña, A Coruña, 15071, Spain","The vast number of opinions and reviews provided in Twitter is helpful in order to make interesting findings about a given industry, but given the huge number of messages published every day, it is important to detect the relevant ones. In this respect, the Twitter search functionality is not a practical tool when we want to poll messages dealing with a given set of general topics. This article presents an approach to classify Twitter messages into various topics. We tackle the problem from a linguistic angle, taking into account part-of-speech, syntactic and semantic information, showing how language processing techniques should be adapted to deal with the informal language present in Twitter messages. The TASS 2013 General corpus, a collection of tweets that has been specifically annotated to perform text analytics tasks, is used as the dataset in our evaluation framework. We carry out a wide range of experiments to determine which kinds of linguistic information have the greatest impact on this task and how they should be combined in order to obtain the best-performing system. The results lead us to conclude that relating features by means of contextual information adds complementary knowledge over pure lexical models, making it possible to outperform them on standard metrics for multilabel classification tasks. © 2014 The Author(s).",multilabel topic classification; natural language processing; Twitter,Computational linguistics; Linguistics; Natural language processing systems; Semantics; Social networking (online); Contextual information; Evaluation framework; Language processing techniques; Linguistic information; Multi-label classifications; NAtural language processing; Topic Classification; Twitter; Classification (of information),"Ministerio de Educación, Cultura y Deporte, MECD: FPU13/01180; Ministerio de Economía y Competitividad, MINECO; European Regional Development Fund, FEDER: TIN2010-18552-C03-02; Xunta de Galicia: CN2012/008, CN2012/319","The research reported in this article was partially funded by Ministerio de Economía y Competitividad and FEDER (grant TIN2010-18552-C03-02), Ministerio de Educación, Cultura y Deporte (FPU13/01180) and by Xunta de Galicia (Grants CN2012/008, CN2012/319).",,,,,,,,,,"Vilares, D.; Universidade da Coruña, Spain",,SAGE Publications Ltd,1655515,,JISCD,,English,J Inf Sci,Article,Final,,Scopus,2-s2.0-84924802022
Ferrer-Vinent I.J.,15622204100;,Exploring Science Information Literacy Instruction at French and Spanish Libraries,2015,Science and Technology Libraries,34,2,,134,146,,3,10.1080/0194262X.2015.1048038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931575588&doi=10.1080%2f0194262X.2015.1048038&partnerID=40&md5=1305a92b9580c16921d5afd06384fba4,"Auraria Library, University of Colorado Denver, 1100 Lawrence Street, Denver, CO  80204, United States","Ferrer-Vinent, I.J., Auraria Library, University of Colorado Denver, 1100 Lawrence Street, Denver, CO  80204, United States","Visits to university libraries in France and Spain offered an initial look at science information literacy practices in Europe. The study provides an overview of the information literacy programs at these libraries, discusses some of the similarities and differences in library instruction for sciences disciplines in these countries, makes comparisons to practices in North American academic libraries, and offers possible ideas that could be implemented in our own programs. © © Ignacio J. Ferrer-Vinent.",chemistry; Europe; information literacy; international collaboration; sabbatical; science,Chemistry; International cooperation; Europe; Information literacy; International collaborations; sabbatical; science; Libraries,,,,,,,,,,,,"Ferrer-Vinent, I.J.; Auraria Library, 1100 Lawrence Street, United States; email: ignacio.ferrer-vinent@ucdenver.edu",,Routledge,0194262X,,STELD,,English,Sci Technol Libr,Article,Final,,Scopus,2-s2.0-84931575588
"Soto Mas F., Ji M., Fuentes B.O., Tinajero J.",6507908575;7102152477;55613503000;6602606614;,The health literacy and ESL study: A community-based intervention for spanish-speaking adults,2015,Journal of Health Communication,20,4,,369,376,,27,10.1080/10810730.2014.965368,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926419005&doi=10.1080%2f10810730.2014.965368&partnerID=40&md5=a8ab0c565d3c01e7cebdc7207c9814ba,"Department of Family and Community Medicine, Public Health Program, University of New Mexico, 1 University of New Mexico, Albuquerque, NM  87131, United States; Statistics/Biostatistics, College of Nursing, University of South Florida, Tampa, FL, United States; Department of Teacher Education, College of Education, University of Texas at El Paso, El Paso, TX, United States","Soto Mas, F., Department of Family and Community Medicine, Public Health Program, University of New Mexico, 1 University of New Mexico, Albuquerque, NM  87131, United States; Ji, M., Statistics/Biostatistics, College of Nursing, University of South Florida, Tampa, FL, United States; Fuentes, B.O., Department of Teacher Education, College of Education, University of Texas at El Paso, El Paso, TX, United States; Tinajero, J., Department of Teacher Education, College of Education, University of Texas at El Paso, El Paso, TX, United States","Although Hispanics have a documented high risk of limited health literacy, there is a scarcity of research with this population group, and particularly with Hispanic immigrants who generally confront language barriers that have been related to low health literacy. The National Action Plan to Improve Health Literacy identified community-based English-language instruction as a strategy that can facilitate a health literate society. However, the literature lacks discussion on this type of intervention. This randomized control trial aimed to test the feasibility of using conventional English-as-a-second-language (ESL) instruction for improving health literacy among Spanish-speaking adults. Objectives included the development, implementation, and evaluation of a health literacy/ESL curriculum. The Test of Functional Health Literacy in Adults (TOFHLA) in English was used to assess health literacy levels. Analyses included independent sample t test, chi-square, and multiple linear regression. A total of 155 people participated. Results showed a significantly higher increase in the TOFHLA posttest score in the intervention group (p =.01), and noticeable differences in health literacy levels between groups. Results indicate that ESL constitutes a promising venue for improving health literacy among Spanish-speaking adults. Incorporating health literacy-related content may provide additional benefits. Copyright © 2015 Taylor & Francis Group, LLC.",,adult; communication disorder; controlled study; curriculum; education; feasibility study; female; follow up; health literacy; Hispanic; human; male; middle aged; migrant; multilingualism; randomized controlled trial; statistics and numerical data; United States; young adult; Adult; Communication Barriers; Curriculum; Emigrants and Immigrants; Feasibility Studies; Female; Follow-Up Studies; Health Literacy; Hispanic Americans; Humans; Male; Middle Aged; Multilingualism; Texas; Young Adult,"National Institutes of Health, NIH; National Heart, Lung, and Blood Institute, NHLBI: R21HL091820","This project was funded by the National Heart, Lung, and Blood Institute, National Institutes of Health. (Title: ‘‘Health Literacy and ESL: Integrating Community-Based Models for the U.S.–Mexico Border Region.’’ Date: 9/30/ 2009–8/31/2011. Grant Number: 1R21HL091820–01A2. PI: Francisco Soto Mas).",,,,,,,,,,"Soto Mas, F.; Department of Family and Community Medicine, 1 University of New Mexico, United States; email: fsotomas@salud.unm.edu",,Taylor and Francis Inc.,10810730,,,25602615,English,J. Health Commun.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-84926419005
Marzolla M.,6508341977;,Quantitative analysis of the Italian National Scientific Qualification,2015,Journal of Informetrics,9,2,,285,316,,11,10.1016/j.joi.2015.02.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924711214&doi=10.1016%2fj.joi.2015.02.006&partnerID=40&md5=8aad7304f9844d6897976bf89ca58199,"Department of Computer Science and Engineering, University of Bologna, Italy","Marzolla, M., Department of Computer Science and Engineering, University of Bologna, Italy","The Italian National Scientific Qualification (ASN) was introduced in 2010 as part of a major reform of the national university system. Under the new regulation, the scientific qualification for a specific role (associate or full professor) and field of study is required to apply for a permanent professor position. The ASN is peculiar since it makes use of bibliometric indicators with associated thresholds as one of the parameters used to assess applicants. The first round of the ASN received 59,149 applications, and the results have been made publicly available for a short period of time, including the values of the quantitative indicators for each applicant. The availability of this wealth of information provides an opportunity to draw a fairly detailed picture of a nation-wide evaluation exercise, and to study the impact of the bibliometric indicators on the qualification results. In this paper, we provide a first account of the Italian National Scientific Qualification from a quantitative point of view. We show that significant differences exist among scientific disciplines, in particular with respect to the fraction of qualified applicants, that cannot be easily explained. Furthermore, we describe some issues related to the definition and use of the bibliometric indicators and the corresponding thresholds. Our analysis aims at drawing attention to potential problems that should be addressed by decision-makers in future rounds of the ASN. © 2015 Elsevier Ltd.",ASN; Bibliometrics; Italy; National Scientific Qualification; Research evaluation,ASN; Bibliometrics; Italy; National Scientific Qualification; Research evaluation; Decision making,,,,,,,,,,,,"Marzolla, M.; Department of Computer Science and Engineering, mura Anteo Zamboni 7, Italy; email: moreno.marzolla@unibo.it",,Elsevier Ltd,17511577,,,,English,J. Inf.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-84924711214
"Lifante M.P.A., Navarro C.C., González González F.J.",55971014100;55970051800;56530722300;,A new proposal to improve the description of astronomical resources: The case of historical star catalogues,2015,Journal of Documentation,71,2,,317,337,,3,10.1108/JD-10-2013-0129,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923673214&doi=10.1108%2fJD-10-2013-0129&partnerID=40&md5=e4c3dd0924db1e361e55ad4b1b03cba8,"Information and Documentation, University of Murcia, Murcia, Spain; Library and Historical Archive, Royal Institute and Observatory of the Spanish Navy, Ministry of Defence, San Fernando (Cádiz), Spain","Lifante, M.P.A., Information and Documentation, University of Murcia, Murcia, Spain; Navarro, C.C., Information and Documentation, University of Murcia, Murcia, Spain; González González, F.J., Library and Historical Archive, Royal Institute and Observatory of the Spanish Navy, Ministry of Defence, San Fernando (Cádiz), Spain","Purpose – The purpose of this paper is to show that some important astronomical information is still not taken into account in the documental description of historical star catalogues. Design/methodology/approach – A sample of 28 historical star catalogues (eighteenth, nineteenth and twentieth centuries) from the Royal Institute and Observatory of the Spanish Navy was selected in order to analyse their structure and to identify information patterns. Findings – The analysis shows that there are a number of technical parameters which are not present in the cataloguing standards and which should be taken into account in the bibliographic descriptions of these specialised documents since they are of great interest to astronomers and astrophysicists. On the other hand, star catalogues provide some cartographic information which can be described by these standards but whose corresponding fields are not widely used by cataloguers. Originality/value – A proposal of new technical parameters is given in order to try to improve the bibliographic records of these astronomical resources. Some directions are also given in order to identify the sections of the catalogues where these parameters may be found, making the task of locating them easier. © Emerald Group Publishing Limited",Astronomical information retrieval; Cartographic resources; Cataloguing quality; Cataloguing standards; Royal institute and observatory of the Spanish navy; Star catalogues,,,,,,,,,,,,,"Lifante, M.P.A.; Information and Documentation, Spain; email: mp.alonsolifante@gmail.com",,Emerald Group Holdings Ltd.,220418,,,,English,J. Doc.,Article,Final,,Scopus,2-s2.0-84923673214
"Simon C.M., Zyzanski S.J., Durand E., Jimenez X.F., Kodish E.D.",57209325116;7006131112;57213299514;56754980300;7003547773;,Erratum: Interpreter accuracy and informed consent among spanish-speaking families with cancer (Journal ofHealthCommunication (2006) 11 (509-522) DOI: 10.1080/10810730600752043),2015,Journal of Health Communication,20,3,,367,,,,10.1080/10810730.2015.1019814,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925338247&doi=10.1080%2f10810730.2015.1019814&partnerID=40&md5=498383998e9f31be0704970fec415bed,,"Simon, C.M.; Zyzanski, S.J.; Durand, E.; Jimenez, X.F.; Kodish, E.D.",[No abstract available],,,,,,,,,,,,,,,,Taylor and Francis Inc.,10810730,,,,English,J. Health Commun.,Erratum,Final,,Scopus,2-s2.0-84925338247
"Brundin A., Roberts D.",55534061300;57189928735;,Book-buying and the grand tour: The Italian books at belton house in Lincolnshire,2015,Library,16,1,,51,79,,4,10.1093/library/16.1.51,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926684996&doi=10.1093%2flibrary%2f16.1.51&partnerID=40&md5=992c55da7bff39735ad728cefd9af020,"Cambridge, United Kingdom","Brundin, A., Cambridge, United Kingdom; Roberts, D., Cambridge, United Kingdom",[No abstract available],,,"Arts and Humanities Research Council, AHRC; University of Cambridge","The authors are extremely grateful to the many people whose input contributed to the genesis and writing of this article, especially: Peter Hoare, who shared so much of his own unpublished research with us, as well as his encyclopaedic knowledge of the library at Belton House; Mark Purcell who supported the project from the outset and was generous with his time and expertise; the house staff at Belton House and at Lincolnshire Archives for all kinds of practical assistance; and, in Cambridge, Jason Scott-Warren and the Centre for Material Texts. We are also very grateful to the anonymous peer reviewers, whose comments have improved our work in numerous ways. Research for this article was funded by the University of Cambridge and the Arts and Humanities Research Council.",,,,,,,,,,,,Oxford University Press,242160,,,,English,Library,Review,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-84926684996
Ardolino F.,6506305015;,The influence of Robert Garnier's Les Juifves on Kyd's the Spanish tragedy,2015,Notes and Queries,62,1,,64,66,,,10.1093/notesj/gju224,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924898022&doi=10.1093%2fnotesj%2fgju224&partnerID=40&md5=480f1d2a370efc043c2e1754e8ec229a,"University of Hawaii, United States","Ardolino, F., University of Hawaii, United States",[No abstract available],,,,,,,,,,,,,,"Ardolino, F.; University of HawaiiUnited States",,Oxford University Press,293970,,,,English,Notes Queries,Note,Final,,Scopus,2-s2.0-84924898022
